,P1,P2,P1 Score,P2 Score
281,DMC,Rule Model,-0.0216,0.0216
282,DMC,DQN,-0.0522,0.0522
283,DMC,DMC,0.0416,-0.0416
284,DMC,DMC,-0.0028,0.0028
285,NFSP,DMC,-0.024,0.024
286,Random,NFSP,0.0128,-0.0128
287,DQN,DMC,0.0812,-0.0812
288,Rule Model,NFSP,0.0846,-0.0846
289,Random,DMC,-0.0388,0.0388
290,NFSP,Random,0.0216,-0.0216
291,DMC,NFSP,0.0646,-0.0646
292,NFSP,DQN,-0.114,0.114
293,Rule Model,Random,0.1072,-0.1072
294,DMC,NFSP,0.052,-0.052
295,NFSP,DQN,-0.1262,0.1262
296,DQN,NFSP,0.144,-0.144
297,Random,NFSP,0.0016,-0.0016
298,DMC,Random,0.0796,-0.0796
299,Rule Model,NFSP,0.1046,-0.1046
300,Random,DMC,-0.036,0.036
301,NFSP,DMC,-0.0606,0.0606
302,DMC,DMC,0.0352,-0.0352
303,Random,NFSP,0.0128,-0.0128
304,DMC,Rule Model,-0.0324,0.0324
305,Random,DQN,-0.1228,0.1228
306,NFSP,Random,0.014,-0.014
307,Rule Model,NFSP,0.0846,-0.0846
308,DQN,Rule Model,0.048,-0.048
309,NFSP,DQN,-0.1074,0.1074
310,DQN,DQN,-0.0022,0.0022
311,DQN,DQN,-0.0166,0.0166
312,NFSP,DQN,-0.1164,0.1164
313,Random,Rule Model,-0.0966,0.0966
314,DQN,Rule Model,0.0484,-0.0484
315,NFSP,DMC,-0.011,0.011
316,Rule Model,NFSP,0.0846,-0.0846
317,Random,DQN,-0.1228,0.1228
318,DMC,Rule Model,-0.0334,0.0334
319,Random,NFSP,0.0128,-0.0128
320,DMC,DMC,0.0292,-0.0292
321,Rule Model,NFSP,0.1038,-0.1038
322,Random,DMC,-0.0472,0.0472
323,Random,NFSP,0.0076,-0.0076
324,DMC,Random,0.0718,-0.0718
325,DQN,NFSP,0.1494,-0.1494
326,DMC,NFSP,0.0676,-0.0676
327,NFSP,DQN,-0.1062,0.1062
328,DQN,Rule Model,0.0234,-0.0234
329,DMC,NFSP,0.042,-0.042
330,DQN,NFSP,0.13,-0.13
331,DQN,NFSP,0.1228,-0.1228
332,NFSP,DQN,-0.0916,0.0916
333,DMC,NFSP,0.0386,-0.0386
334,DMC,NFSP,0.08,-0.08
335,DMC,Random,0.0686,-0.0686
336,Random,DMC,-0.0608,0.0608
337,Rule Model,NFSP,0.1222,-0.1222
338,Random,NFSP,0.0128,-0.0128
339,DMC,DMC,0.0312,-0.0312
340,NFSP,DMC,-0.0318,0.0318
341,DMC,DMC,0.0456,-0.0456
342,Random,DQN,-0.1032,0.1032
343,DMC,Rule Model,-0.046,0.046
344,NFSP,DMC,-0.0156,0.0156
345,DQN,Rule Model,0.0614,-0.0614
346,DQN,DQN,-0.005,0.005
347,NFSP,DQN,-0.1354,0.1354
348,DQN,DQN,-0.0152,0.0152
349,DQN,Rule Model,0.0276,-0.0276
350,NFSP,DMC,-0.0344,0.0344
351,Rule Model,NFSP,0.0984,-0.0984
352,DMC,Rule Model,-0.035,0.035
353,DMC,Random,0.0614,-0.0614
354,NFSP,DMC,-0.0386,0.0386
355,DMC,DMC,0.0254,-0.0254
356,DMC,DMC,0.048,-0.048
357,Random,NFSP,0.0128,-0.0128
358,Random,DMC,-0.0524,0.0524
359,Rule Model,NFSP,0.1132,-0.1132
360,DQN,NFSP,0.1312,-0.1312
361,Random,NFSP,0.0166,-0.0166
362,DQN,DMC,0.0992,-0.0992
363,DMC,NFSP,0.0752,-0.0752
364,DQN,NFSP,0.1258,-0.1258
365,DMC,NFSP,0.062,-0.062
366,DQN,NFSP,0.1124,-0.1124
367,NFSP,Random,0.0088,-0.0088
368,Random,NFSP,0.0216,-0.0216
